Lemma,PrincipalParts,Form,Voice,Mood,Tense,Number,Person,Footnote
eo,ire_ivi(ii)_itus,īrēs,,subjunctive,imperfect,singular,2nd,
eo,ire_ivi(ii)_itus,īret,,subjunctive,imperfect,singular,3rd,
eo,ire_ivi(ii)_itus,īrēmus,,subjunctive,imperfect,plural,1st,
eo,ire_ivi(ii)_itus,īrētis,,subjunctive,imperfect,plural,2nd,
eo,ire_ivi(ii)_itus,īrent,,subjunctive,imperfect,plural,3rd,
eo,ire_ivi(ii)_itus,ībō,,indicative,future,singular,1st,
eo,ire_ivi(ii)_itus,ībis,,indicative,future,singular,2nd,
eo,ire_ivi(ii)_itus,ībit,,indicative,future,singular,3rd,
eo,ire_ivi(ii)_itus,ībimus,,indicative,future,plural,1st,
eo,ire_ivi(ii)_itus,ībitis,,indicative,future,plural,2nd,
eo,ire_ivi(ii)_itus,ībunt,,indicative,future,plural,3rd,
eo,ire_ivi(ii)_itus,ītō,,imperative,future,singular,2nd,
eo,ire_ivi(ii)_itus,ītō,,imperative,future,singular,3rd,
eo,ire_ivi(ii)_itus,ītōte,,imperative,future,plural,2nd,
eo,ire_ivi(ii)_itus,euntō,,imperative,future,plural,3rd,
eo,ire_ivi(ii)_itus,itūrus esse,,infinitive,future,,,
eo,ire_ivi(ii)_itus,iī,,indicative,perfect,singular,1st,10
eo,ire_ivi(ii)_itus,īvī,,indicative,perfect,singular,1st,11
eo,ire_ivi(ii)_itus,īstī,,indicative,perfect,singular,2nd,
eo,ire_ivi(ii)_itus,iit,,indicative,perfect,singular,3rd,
eo,ire_ivi(ii)_itus,iimus,,indicative,perfect,plural,1st,
eo,ire_ivi(ii)_itus,īstis,,indicative,perfect,plural,2nd,
eo,ire_ivi(ii)_itus,iērunt,,indicative,perfect,plural,3rd,
eo,ire_ivi(ii)_itus,ierim,,subjunctive,perfect,singular,1st,
eo,ire_ivi(ii)_itus,ierīs,,subjunctive,perfect,singular,2nd,
eo,ire_ivi(ii)_itus,ierit,,subjunctive,perfect,singular,3rd,
eo,ire_ivi(ii)_itus,ierīmus,,subjunctive,perfect,plural,1st,
eo,ire_ivi(ii)_itus,ierītis,,subjunctive,perfect,plural,2nd,
eo,ire_ivi(ii)_itus,ierint,,subjunctive,perfect,plural,3rd,
eo,ire_ivi(ii)_itus,īsse,,infinitive,perfect,,,10
eo,ire_ivi(ii)_itus,īvisse,,infinitive,perfect,,,
eo,ire_ivi(ii)_itus,ieram,,indicative,pluperfect,singular,1st,
eo,ire_ivi(ii)_itus,īveram,,indicative,pluperfect,singular,1st,
eo,ire_ivi(ii)_itus,ierās,,indicative,pluperfect,singular,2nd,
eo,ire_ivi(ii)_itus,ierat,,indicative,pluperfect,singular,3rd,
eo,ire_ivi(ii)_itus,ierāmus,,indicative,pluperfect,plural,1st,
eo,ire_ivi(ii)_itus,ierātis,,indicative,pluperfect,plural,2nd,
eo,ire_ivi(ii)_itus,ierant,,indicative,pluperfect,plural,3rd,
eo,ire_ivi(ii)_itus,īssem,,subjunctive,pluperfect,singular,1st,
eo,ire_ivi(ii)_itus,īssēs,,subjunctive,pluperfect,singular,2nd,
eo,ire_ivi(ii)_itus,īsset,,subjunctive,pluperfect,singular,3rd,
eo,ire_ivi(ii)_itus,īssēmus,,subjunctive,pluperfect,plural,1st,
eo,ire_ivi(ii)_itus,īssētis,,subjunctive,pluperfect,plural,2nd,
eo,ire_ivi(ii)_itus,īssent,,subjunctive,pluperfect,plural,3rd,
eo,ire_ivi(ii)_itus,ierō,,indicative,future_perfect,singular,1st,
eo,ire_ivi(ii)_itus,īverō,,indicative,future_perfect,singular,1st,
eo,ire_ivi(ii)_itus,ieris,,indicative,future_perfect,singular,2nd,
eo,ire_ivi(ii)_itus,ierit,,indicative,future_perfect,singular,3rd,
eo,ire_ivi(ii)_itus,ierimus,,indicative,future_perfect,plural,1st,
eo,ire_ivi(ii)_itus,ieritis,,indicative,future_perfect,plural,2nd,
eo,ire_ivi(ii)_itus,ierunt,,indicative,future_perfect,plural,3rd,
possum,posse_potui_-,possum,,indicative,present,singular,1st,
possum,posse_potui_-,"potis, -e sum",,indicative,present,singular,1st,12
possum,posse_potui_-,potes,,indicative,present,singular,2nd,
possum,posse_potui_-,"potis, -e es",,indicative,present,singular,2nd,12
possum,posse_potui_-,potest,,indicative,present,singular,3rd,
possum,posse_potui_-,"potis, -e est",,indicative,present,singular,3rd,12
